record_id,doi,doi_split,hydrogel_name,hydrogel_format,polymer_backbone,monomers,monomer_ratios,crosslinker,crosslinker_concentration,synthesis_method,preparation_solvent,preparation_pH,preparation_temp_C,gelation_time,post_treatment,functional_groups,ligand_or_affinity_group,filler_or_composite,charge_class,responsive_type,swelling_ratio,water_content_pct,porosity_pct,pore_size_value,pore_size_unit,mesh_size,surface_area,particle_size,thickness,roughness,zeta_potential_mV,contact_angle_deg,young_modulus,degradation_or_stability,protein_name,protein_abbreviation,protein_species_or_source,protein_mw_kDa,protein_pI,protein_charge_at_pH,experiment_mode,pH,temperature_C,contact_time,contact_time_unit,buffer,salt_type,salt_concentration,hydrogel_dosage,solution_volume,flow_rate,detection_method,replicate_count,target_name,target_value,target_unit,target_direction,outcome_label,mechanism_tags,source_quality_score,extraction_confidence,article_title
PHA-1661e7f796-001,10.1002/adfm.202309567,train,methacrylated dextran hydrogel,2D hydrogel substrate,dextran,"[""dextran"",""glycidyl methacrylate""]",,"[""methacrylate groups on dextran""]",,dextran methacrylation followed by UV photocrosslinking,,,,,,"[""methacrylate"",""hydroxyl""]",[],[],neutral,[],,,,,,,,,,,,13,,,fibronectin,FN,Corning Inc.; species not specified,,,,batch incubation on hydrogel surface,,,1 h,,PBS,,,,,,"BCA protein assay of non-absorbed protein, back-calculated adsorbed amount",,adsorbed fibronectin concentration,3.2,ug mL-1,context_dependent,low fibronectin adsorption,"[""hydrophobic adsorption"",""low hydrophobicity limits adsorption""]",3,0.95,A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses
PHA-1661e7f796-002,10.1002/adfm.202309567,train,methacrylated dextran hydrogel,2D hydrogel substrate,dextran,"[""dextran"",""glycidyl methacrylate""]",,"[""methacrylate groups on dextran""]",,dextran methacrylation followed by UV photocrosslinking,,,,,,"[""methacrylate"",""hydroxyl""]",[],[],neutral,[],,,,,,,,,,,,25,,,fibronectin,FN,Corning Inc.; species not specified,,,,batch incubation on hydrogel surface,,,1 h,,PBS,,,,,,"BCA protein assay of non-absorbed protein, back-calculated adsorbed amount",,adsorbed fibronectin concentration,23.0,ug mL-1,context_dependent,fibronectin adsorption,"[""hydrophobic adsorption""]",3,0.95,A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses
PHA-1661e7f796-003,10.1002/adfm.202309567,train,methacrylated dextran hydrogel,2D hydrogel substrate,dextran,"[""dextran"",""glycidyl methacrylate""]",,"[""methacrylate groups on dextran""]",,dextran methacrylation followed by UV photocrosslinking,,,,,,"[""methacrylate"",""hydroxyl""]",[],[],neutral,[],,,,,,,,,,,,67,,,fibronectin,FN,Corning Inc.; species not specified,,,,batch incubation on hydrogel surface,,,1 h,,PBS,,,,,,"BCA protein assay of non-absorbed protein, back-calculated adsorbed amount",,adsorbed fibronectin concentration,45.0,ug mL-1,context_dependent,high fibronectin adsorption,"[""hydrophobic adsorption""]",3,0.95,A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses
PHA-1661e7f796-004,10.1002/adfm.202309567,train,methacrylated dextran hydrogel,2D hydrogel substrate,dextran,"[""dextran"",""glycidyl methacrylate""]",,"[""methacrylate groups on dextran""]",,dextran methacrylation followed by UV photocrosslinking,,,,,,"[""methacrylate"",""hydroxyl""]",[],[],neutral,[],,,,,,,,,,,,84,,,fibronectin,FN,Corning Inc.; species not specified,,,,batch incubation on hydrogel surface,,,1 h,,PBS,,,,,,"BCA protein assay of non-absorbed protein, back-calculated adsorbed amount",,adsorbed fibronectin concentration,57.0,ug mL-1,context_dependent,highest fibronectin adsorption in hydrophobicity series,"[""hydrophobic adsorption""]",3,0.95,A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses
PHA-2dc9e21bdc-006,10.1002/adhm.202300695,train,"TNFα antibody-functionalized 10 eq GMA PEG microgels, IgG:GMA 1",microgel,"[""4-arm star-PEG acrylate""]","[""star-PEG acrylate"",""glycidyl methacrylate""]",,"[""star-PEG acrylate""]",,droplet-based flow-focusing microfluidics followed by UV free-radical polymerization; antibody coupled by amine-glycidyl reaction,,,,,,"[""glycidyl"",""acrylate""]","[""TNFα antibody"",""adalimumab""]",[],,[],,,,,,,,approximately 25 µm diameter,,,,,,,tumor necrosis factor alpha,TNFα,"recombinant human TNFα, R&D Systems",,,,batch scavenging,,37,1 h,,,,,approximately 100000 microgels,500 µL,,TNFα ELISA of supernatant,,removal_efficiency_pct,88.0,%,maximize,TNFα scavenging at 2.5 µg/mL with stoichiometric IgG:GMA,"[""antibody-antigen affinity"",""internal microgel accessibility"",""cytokine scavenging""]",3,0.98,Microgels as Platforms for Antibody-Mediated Cytokine Scavenging
PHA-7d078321c2-004,10.1002/adhm.202402556,train,dually-crosslinked insulin-loaded nanogels,nanogel,P(AC-co-MAPBA)-b-PEG-b-P(AC-co-MAPBA),"[""AC"",""MAPBA"",""PEG""]",,"[""phenylboronic ester"",""UV-crosslinking""]",,reversed-phase nanoprecipitation followed by UV-crosslinking,,,,,,"[""phenylboronic acid ester""]","[""phenylboronic acid ester""]","[""modified GOx""]",,"[""glucose-responsive"",""H2O2-responsive""]",,,,,,,,≈264 nm after insulin loading,,,,,,,insulin,Ins,,,,,in vitro release,7.4,37,24 h,,PBS,,5 mM PBS,1 mL DC-NGs@Ins,3.0 mL PBS,,Bradford protein quantitative kit,,retained_capacity_pct,72.0,%,maximize,insulin release from DC-NGs@Ins without external stimulation,"[""UV-crosslinking reduces burst release""]",3,0.9,Glucose Oxidase-Immobilized Dually-Crosslinked Nanogels for Rapid-Responsive Insulin Delivery
PHA-7d078321c2-005,10.1002/adhm.202402556,train,dually-crosslinked insulin-loaded nanogels,nanogel,P(AC-co-MAPBA)-b-PEG-b-P(AC-co-MAPBA),"[""AC"",""MAPBA"",""PEG""]",,"[""phenylboronic ester"",""UV-crosslinking""]",,reversed-phase nanoprecipitation followed by UV-crosslinking,,,,,,"[""phenylboronic acid ester""]","[""phenylboronic acid ester""]","[""modified GOx""]",,"[""glucose-responsive"",""H2O2-responsive""]",,,,,,,,≈264 nm after insulin loading,,,,,,,insulin,Ins,,,,,in vitro glucose-responsive release,7.4,37,24 h,,PBS,,5 mM PBS,1 mL DC-NGs@Ins,3.0 mL PBS,,Bradford protein quantitative kit,,retained_capacity_pct,47.0,%,maximize,insulin release from DC-NGs@Ins at hyperglycemia,"[""glucose-responsive release"",""GOx-generated H2O2"",""phenylboronic ester degradation""]",3,0.9,Glucose Oxidase-Immobilized Dually-Crosslinked Nanogels for Rapid-Responsive Insulin Delivery
PHA-7d078321c2-006,10.1002/adhm.202402556,train,dually-crosslinked GOx-immobilized nanogels,nanogel,P(AC-co-MAPBA)-b-PEG-b-P(AC-co-MAPBA),"[""AC"",""MAPBA"",""PEG""]",,"[""phenylboronic ester"",""UV-crosslinking""]",,reversed-phase nanoprecipitation followed by UV-crosslinking,,,,,,"[""phenylboronic acid ester"",""o-diol""]","[""phenylboronic acid ester""]","[""modified GOx""]",,"[""glucose-responsive"",""H2O2-responsive""]",,,,,,,,≈223 nm for DC-NGs before insulin loading,,,,,,,glucose oxidase,GOx,,,,,enzyme leakage/release,,,12 h,,,,,,,,Bradford protein quantitative kit,,retained_capacity_pct,70.0,%,maximize,GOx release from DC-NGs,"[""GOx immobilization"",""UV-crosslinking"",""phenylboronic ester crosslinking"",""reduced enzyme leakage""]",3,0.9,Glucose Oxidase-Immobilized Dually-Crosslinked Nanogels for Rapid-Responsive Insulin Delivery
PHA-7d078321c2-007,10.1002/adhm.202402556,train,dually-crosslinked insulin-loaded nanogels,nanogel,P(AC-co-MAPBA)-b-PEG-b-P(AC-co-MAPBA),"[""AC"",""MAPBA"",""PEG""]",,"[""phenylboronic ester"",""UV-crosslinking""]",,reversed-phase nanoprecipitation followed by UV-crosslinking,,,,,,"[""phenylboronic acid ester""]","[""phenylboronic acid ester""]","[""modified GOx""]",,"[""H2O2-responsive""]",,,,,,,,≈264 nm after insulin loading,,,,,,,insulin,Ins,,,,,in vitro H2O2-responsive release,7.4,37,12 h,,PBS,,5 mM PBS,1 mL DC-NGs@Ins,3.0 mL PBS,,Bradford protein quantitative kit,,retained_capacity_pct,42.0,%,maximize,insulin release from DC-NGs@Ins at 0.5 mM H2O2,"[""H2O2-responsive release"",""phenylboronic ester degradation"",""UV-crosslinking reduces disintegration""]",3,0.9,Glucose Oxidase-Immobilized Dually-Crosslinked Nanogels for Rapid-Responsive Insulin Delivery
PHA-4423204928-001,10.1002/adhm.202505805,train,pSB hydrogel coating on PVC-PVA-MA,PVC-supported smooth zwitterionic hydrogel coating,"[""poly(sulfobetaine methacrylate)""]","[""[2-(methacryloyloxy)ethyl]dimethyl-(3-sulfopropyl)ammonium hydroxide (SBMA)""]",,"[""N,N'-methylene bisacrylamide (MBA), 0.1 mol% relative to SBMA""]",,"PVC-PVA-MA substrate coated with deoxygenated 4 M SBMA precursor containing MBA and photoinitiator 2959, UV polymerized at 365 nm and 6 W for 6 h, then immersed in water for 2 d.",,,,,,"[""sulfobetaine zwitterion""]",[],[],zwitterionic/electroneutral,[],,,,,,,,,,,,11.84,,,lysozyme,Lyz,Sigma-Aldrich; protein >=95%; species not specified,,,,static incubation,,37,4 h,,PBS,,,,,,enhanced BCA protein detection kit; absorbance at 562 nm after 2 wt% SDS sonication for 30 min,,relative lysozyme adsorption,17.66,% of pristine PVC adsorption level,context_dependent,lysozyme adsorption on pSB hydrogel coating,"[""zwitterionic hydration layer"",""superhydrophilicity"",""charge neutrality"",""ionic solvation""]",2,,"Cellulose Nanocrystal-Enabled Zwitterionic Hydrogel Coating Integrating Mechanical Robustness, High-Strength Adhesion, and Exceptional Antifouling for Blood-Contacting Medical Devices"
