id,doi,name,role,context,pubchem_query,needs_manual_normalization,enrichment_json
1,10.1038/pj.2014.101,N-isopropylacrylamide,nanogel monomer,NPs were prepared from NIPAm with varying feed ratios depending on BIS crosslinker content.,N-isopropylacrylamide,0,"{""CID"": 16637, ""ConnectivitySMILES"": ""CC(C)NC(=O)C=C"", ""IUPACName"": ""N-propan-2-ylprop-2-enamide"", ""InChIKey"": ""QNILTEGFHQSKFF-UHFFFAOYSA-N"", ""MolecularFormula"": ""C6H11NO"", ""MolecularWeight"": ""113.16"", ""SMILES"": ""CC(C)NC(=O)C=C""}"
2,10.1038/pj.2014.101,N-tert-butylacrylamide,hydrophobic nanogel comonomer,TBAm was used at 40 mol% in nanogel particles that bind the Fc fragment of IgG.,N-tert-butylacrylamide,0,"{""CID"": 7877, ""ConnectivitySMILES"": ""CC(C)(C)NC(=O)C=C"", ""IUPACName"": ""N-tert-butylprop-2-enamide"", ""InChIKey"": ""XFHJDMUEHUHAJW-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H13NO"", ""MolecularWeight"": ""127.18"", ""SMILES"": ""CC(C)(C)NC(=O)C=C""}"
3,10.1038/pj.2014.101,acrylic acid,anionic nanogel comonomer,AAc was used at 20 mol% and provides carboxylate groups for electrostatic interaction with quaternary ammonium gel beads.,acrylic acid,0,"{""CID"": 6581, ""ConnectivitySMILES"": ""C=CC(=O)O"", ""IUPACName"": ""prop-2-enoic acid"", ""InChIKey"": ""NIXOWILDQLNWCW-UHFFFAOYSA-N"", ""MolecularFormula"": ""C3H4O2"", ""MolecularWeight"": ""72.06"", ""SMILES"": ""C=CC(=O)O""}"
4,10.1038/pj.2014.101,"N,N′-methylenebisacrylamide",nanogel crosslinker,"BIS was varied at 2, 5, 10, and 20 mol% to prepare nanogels with different degrees of crosslinking.","N,N'-methylenebisacrylamide",0,"{""CID"": 8041, ""ConnectivitySMILES"": ""C=CC(=O)NCNC(=O)C=C"", ""IUPACName"": ""N-[(prop-2-enoylamino)methyl]prop-2-enamide"", ""InChIKey"": ""ZIUHHBKFKCYYJD-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H10N2O2"", ""MolecularWeight"": ""154.17"", ""SMILES"": ""C=CC(=O)NCNC(=O)C=C""}"
5,10.1038/pj.2014.101,dansyl methacrylamide,fluorescent nanogel comonomer,Dansylated methacrylamide was copolymerized at 0.01 mol% to quantify nanogel immobilization by fluorescence.,dansyl methacrylamide,1,null
6,10.1038/pj.2014.101,quaternary ammonium group,cationic gel bead surface group,Macroporous gel beads contained quaternary ammonium cations on the pore surface for electrostatic nanogel immobilization.,quaternary ammonium,1,null
7,10.1038/pj.2014.101,MCI gel CQA35P,macroporous poly(methacrylate)-based gel bead support,Porous polymer beads supplied by Mitsubishi Chemical Corporation and used as the solid support.,MCI gel CQA35P,1,null
8,10.1038/pj.2014.101,sodium dodecyl sulfate,nanogel polymerization stabilizer,Used as the stabilizer during pseudo-precipitation polymerization of nanogels.,sodium dodecyl sulfate,0,"{""CID"": 3423265, ""ConnectivitySMILES"": ""CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]"", ""IUPACName"": ""sodium dodecyl sulfate"", ""InChIKey"": ""DBMJMQXJHONAFJ-UHFFFAOYSA-M"", ""MolecularFormula"": ""C12H25NaO4S"", ""MolecularWeight"": ""288.38"", ""SMILES"": ""CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]""}"
9,10.1038/pj.2014.101,ammonium persulfate,polymerization initiator,Added with TEMED to initiate nanogel polymerization.,ammonium persulfate,0,"{""CID"": 62648, ""ConnectivitySMILES"": ""[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-]"", ""IUPACName"": ""diazanium;sulfonatooxy sulfate"", ""InChIKey"": ""ROOXNKNUYICQNP-UHFFFAOYSA-N"", ""MolecularFormula"": ""H8N2O8S2"", ""MolecularWeight"": ""228.21"", ""SMILES"": ""[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-]""}"
10,10.1038/pj.2014.101,"N,N,N′,N′-tetramethylethylenediamine",polymerization accelerator,Added with ammonium persulfate during nanogel polymerization.,"N,N,N',N'-tetramethylethylenediamine",0,"{""CID"": 8037, ""ConnectivitySMILES"": ""CN(C)CCN(C)C"", ""IUPACName"": ""N,N,N',N'-tetramethylethane-1,2-diamine"", ""InChIKey"": ""KWYHDKDOAIKMQN-UHFFFAOYSA-N"", ""MolecularFormula"": ""C6H16N2"", ""MolecularWeight"": ""116.20"", ""SMILES"": ""CN(C)CCN(C)C""}"
