"record_id","doi","interaction_type","is_covalent_binding","experiment_mode_primary","experiment_mode_detail","application_context","comparable_target_class","model_ready","model_ready_blocker","manual_review_priority","q5_protein_evidence_flag","q5_triage_action","standardization_rules_version"
"PHA-daf6374cdb-001","10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y","antifouling_low_adsorption","no","hemocompatibility","other","antifouling","not_comparable","False","missing_protein_target_or_mixture;missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-97375e0a53-001","10.1002/adbi.201700240","entrapment","no","column","other","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-97375e0a53-002","10.1002/adbi.201700240","entrapment","no","column","other","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-97375e0a53-003","10.1002/adbi.201700240","covalent_immobilization","yes","hemocompatibility","other","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-97375e0a53-004","10.1002/adbi.201700240","unknown","unclear","hemocompatibility","protein_immobilization_activity","hemocompatibility","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-97375e0a53-005","10.1002/adbi.201700240","entrapment","no","column","other","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-76e39d6462-001","10.1002/adbi.202000081","physical_adsorption","no","surface","other","screening_library","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-76e39d6462-002","10.1002/adbi.202000081","unknown","unclear","surface","other","other","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-7164a15813-001","10.1002/adfm.200400117","affinity_binding","no","immobilization","other","protein_immobilization","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-7164a15813-002","10.1002/adfm.200400117","affinity_binding","no","immobilization","protein_immobilization_activity","protein_immobilization","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-001","10.1002/adfm.202005245","covalent_immobilization","yes","other","fluorescence_surface_quantification","protein_immobilization","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-002","10.1002/adfm.202005245","covalent_immobilization","yes","other","fluorescence_surface_quantification","purification","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-003","10.1002/adfm.202005245","covalent_immobilization","yes","flow","other","protein_immobilization","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-004","10.1002/adfm.202005245","covalent_immobilization","yes","other","other","protein_immobilization","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-005","10.1002/adfm.202005245","covalent_immobilization","yes","batch","batch_adsorption_kinetics","protein_immobilization","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-8398f37562-006","10.1002/adfm.202005245","unknown","unclear","other","fluorescence_surface_quantification","other","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-3a37664867-001","10.1002/adfm.202010556","covalent_immobilization","yes","other","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-3a37664867-002","10.1002/adfm.202010556","covalent_immobilization","yes","surface","other","protein_immobilization","medium","False","missing_key_experiment_condition","high","False","not_applicable","curated_release_20260707"
"PHA-3a37664867-003","10.1002/adfm.202010556","entrapment","no","surface","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-3a37664867-004","10.1002/adfm.202010556","covalent_immobilization","yes","other","other","protein_immobilization","medium","False","missing_key_experiment_condition","high","False","not_applicable","curated_release_20260707"
"PHA-3a37664867-005","10.1002/adfm.202010556","entrapment","no","other","other","protein_immobilization","weak","False","not_strong_or_medium_comparable;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-3717dac922-001","10.1002/adfm.202308269","covalent_immobilization","yes","immobilization","fluorescence_surface_quantification","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-3717dac922-002","10.1002/adfm.202308269","covalent_immobilization","yes","immobilization","fluorescence_surface_quantification","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-3717dac922-003","10.1002/adfm.202308269","covalent_immobilization","yes","other","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-2c93911259-001","10.1002/adfm.202309500","nonspecific_adsorption","no","other","other","biointerface_adsorption","medium","False","missing_key_experiment_condition","high","True","not_applicable","curated_release_20260707"
"PHA-2c93911259-002","10.1002/adfm.202309500","nonspecific_adsorption","no","hemocompatibility","other","hemocompatibility","medium","False","missing_key_experiment_condition","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-001","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-002","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-003","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-004","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-005","10.1002/adfm.202309567","covalent_immobilization","yes","surface","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-006","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-007","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-008","10.1002/adfm.202309567","covalent_immobilization","yes","surface","static_incubation","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-009","10.1002/adfm.202309567","covalent_immobilization","yes","surface","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-1661e7f796-010","10.1002/adfm.202309567","covalent_immobilization","yes","surface","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-94867418ff-001","10.1002/adhm.202201378","antifouling_low_adsorption","no","hemocompatibility","static_incubation","antifouling","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-94867418ff-002","10.1002/adhm.202201378","antifouling_low_adsorption","no","hemocompatibility","static_incubation","antifouling","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-94867418ff-003","10.1002/adhm.202201378","nonspecific_adsorption","no","hemocompatibility","static_incubation","hemocompatibility","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-94867418ff-004","10.1002/adhm.202201378","antifouling_low_adsorption","no","hemocompatibility","static_incubation","antifouling","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-2dc9e21bdc-001","10.1002/adhm.202300695","covalent_immobilization","yes","immobilization","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-002","10.1002/adhm.202300695","covalent_immobilization","yes","immobilization","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-003","10.1002/adhm.202300695","covalent_immobilization","yes","batch","batch_adsorption_equilibrium","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-004","10.1002/adhm.202300695","covalent_immobilization","yes","batch","batch_adsorption_equilibrium","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-005","10.1002/adhm.202300695","covalent_immobilization","yes","batch","batch_adsorption_equilibrium","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-006","10.1002/adhm.202300695","covalent_immobilization","yes","batch","batch_adsorption_equilibrium","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-007","10.1002/adhm.202300695","covalent_immobilization","yes","batch","batch_adsorption_equilibrium","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-008","10.1002/adhm.202300695","covalent_immobilization","yes","other","fluorescence_surface_quantification","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-009","10.1002/adhm.202300695","covalent_immobilization","yes","hemocompatibility","static_incubation","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-2dc9e21bdc-010","10.1002/adhm.202300695","covalent_immobilization","yes","hemocompatibility","static_incubation","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-001","10.1002/adhm.202402556","entrapment","no","other","other","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-002","10.1002/adhm.202402556","entrapment","no","other","other","protein_immobilization","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-003","10.1002/adhm.202402556","covalent_immobilization","yes","immobilization","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-004","10.1002/adhm.202402556","entrapment","no","other","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-005","10.1002/adhm.202402556","entrapment","no","other","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-006","10.1002/adhm.202402556","entrapment","no","immobilization","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-7d078321c2-007","10.1002/adhm.202402556","entrapment","no","other","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-a4a6e25e73-001","10.1002/adhm.202405238","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-a4a6e25e73-002","10.1002/adhm.202405238","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-5dc5007aa4-001","10.1002/adhm.202503260","physical_adsorption","no","surface","static_incubation","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-5dc5007aa4-002","10.1002/adhm.202503260","physical_adsorption","no","surface","other","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-6edf2fa8e2-001","10.1002/adhm.202503483","antifouling_low_adsorption","no","surface","fluorescence_surface_quantification","antifouling","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-002","10.1002/adhm.202503483","antifouling_low_adsorption","no","batch","batch_adsorption_equilibrium","antifouling","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-003","10.1002/adhm.202503483","antifouling_low_adsorption","no","other","other","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-004","10.1002/adhm.202503483","antifouling_low_adsorption","no","other","other","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-005","10.1002/adhm.202503483","antifouling_low_adsorption","no","surface","fluorescence_surface_quantification","antifouling","not_comparable","False","not_strong_or_medium_comparable","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-006","10.1002/adhm.202503483","antifouling_low_adsorption","no","surface","fluorescence_surface_quantification","antifouling","not_comparable","False","not_strong_or_medium_comparable","low","True","keep","curated_release_20260707"
"PHA-6edf2fa8e2-007","10.1002/adhm.202503483","antifouling_low_adsorption","no","surface","fluorescence_surface_quantification","antifouling","not_comparable","False","not_strong_or_medium_comparable","low","True","keep","curated_release_20260707"
"PHA-4423204928-001","10.1002/adhm.202505805","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","weak","False","not_strong_or_medium_comparable","medium","True","keep","curated_release_20260707"
"PHA-4423204928-002","10.1002/adhm.202505805","antifouling_low_adsorption","no","hemocompatibility","surface_fouling_assay","antifouling","weak","False","not_strong_or_medium_comparable","high","True","keep","curated_release_20260707"
"PHA-4423204928-003","10.1002/adhm.202505805","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","weak","False","not_strong_or_medium_comparable","medium","True","keep","curated_release_20260707"
"PHA-4423204928-004","10.1002/adhm.202505805","antifouling_low_adsorption","no","hemocompatibility","surface_fouling_assay","antifouling","weak","False","not_strong_or_medium_comparable","high","True","keep","curated_release_20260707"
"PHA-4423204928-005","10.1002/adhm.202505805","antifouling_low_adsorption","no","flow","surface_fouling_assay","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","low","True","keep","curated_release_20260707"
"PHA-4423204928-006","10.1002/adhm.202505805","antifouling_low_adsorption","no","flow","surface_fouling_assay","antifouling","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","low","True","keep","curated_release_20260707"
"PHA-535e380f5f-001","10.1002/adma.201101258","affinity_binding","no","batch","fluorescence_surface_quantification","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-002","10.1002/adma.201101258","entrapment","no","batch","fluorescence_surface_quantification","purification","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-003","10.1002/adma.201101258","affinity_binding","no","batch","fluorescence_surface_quantification","purification","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-004","10.1002/adma.201101258","affinity_binding","no","batch","fluorescence_surface_quantification","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-005","10.1002/adma.201101258","affinity_binding","no","batch","batch_adsorption_equilibrium","purification","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-006","10.1002/adma.201101258","affinity_binding","no","batch","fluorescence_surface_quantification","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-007","10.1002/adma.201101258","affinity_binding","no","surface","other","biointerface_adsorption","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-008","10.1002/adma.201101258","affinity_binding","no","surface","other","biointerface_adsorption","weak","False","missing_key_experiment_condition;not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-535e380f5f-009","10.1002/adma.201101258","affinity_binding","no","surface","other","biointerface_adsorption","weak","False","missing_key_experiment_condition;not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-001","10.1002/adma.202202612","entrapment","no","immobilization","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-002","10.1002/adma.202202612","entrapment","no","immobilization","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-003","10.1002/adma.202202612","entrapment","no","other","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-004","10.1002/adma.202202612","entrapment","no","other","other","purification","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-005","10.1002/adma.202202612","entrapment","no","other","other","purification","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-006","10.1002/adma.202202612","entrapment","no","other","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-007","10.1002/adma.202202612","entrapment","no","other","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","medium","True","not_applicable","curated_release_20260707"
"PHA-a1b34fe113-008","10.1002/adma.202202612","entrapment","no","other","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-fcaf129d9d-001","10.1002/adma.202307875","physical_adsorption","no","batch","batch_adsorption_equilibrium","biointerface_adsorption","medium","False","missing_key_experiment_condition","high","True","not_applicable","curated_release_20260707"
"PHA-fcaf129d9d-002","10.1002/adma.202307875","physical_adsorption","no","batch","batch_adsorption_equilibrium","biointerface_adsorption","medium","False","missing_key_experiment_condition","high","True","not_applicable","curated_release_20260707"
"PHA-fcaf129d9d-003","10.1002/adma.202307875","physical_adsorption","no","batch","batch_adsorption_equilibrium","biointerface_adsorption","strong","False","low_source_quality","high","True","not_applicable","curated_release_20260707"
"PHA-fcaf129d9d-004","10.1002/adma.202307875","physical_adsorption","no","surface","other","biointerface_adsorption","not_comparable","False","missing_key_experiment_condition;not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-bb53f2c417-001","10.1002/adma.202514461","entrapment","no","other","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-bb53f2c417-002","10.1002/adma.202514461","affinity_binding","no","hemocompatibility","other","hemocompatibility","weak","False","missing_key_experiment_condition;not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-388e105dc8-001","10.1002/adma.73688","unknown","unclear","immobilization","fluorescence_surface_quantification","protein_immobilization","medium","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-388e105dc8-002","10.1002/adma.73688","unknown","unclear","batch","batch_adsorption_equilibrium","other","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-388e105dc8-003","10.1002/adma.73688","unknown","unclear","immobilization","other","purification","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-c432462fd3-001","10.1002/admi.201800452","entrapment","no","immobilization","protein_immobilization_activity","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-c432462fd3-002","10.1002/admi.201800452","physical_adsorption","no","immobilization","protein_immobilization_activity","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-c432462fd3-003","10.1002/admi.201800452","entrapment","no","immobilization","protein_immobilization_activity","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
