doi,title,publisher,status,records_count,material_mentions_count,protein_mentions_count,special_fields_count,source_json,curation_decision,curation_reason,error_message
10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,The effect of gel composition on the uranyl ions adsorption capacity of poly(N-vinyl 2-pyrrolidone-g-citric acid) hydrogels prepared by gamma rays,Wiley,partial,0,7,0,3,local_article_corpus/Wiley/10.1002_1097-4628(20000801)77_5_1037__AID-APP10_3.0.CO;2-G/10.1002_1097-4628(20000801)77_5_1037__AID-APP10_3.0.CO;2-G.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,"Effect of pH, ionic strength, and temperature on uranyl ion adsorption by poly(N-vinyl 2-pyrrolidone-g-tartaric acid) hydrogels",Wiley,partial,0,7,0,3,local_article_corpus/Wiley/10.1002_1097-4628(20001213)78_12_2219__AID-APP200_3.0.CO;2-X/10.1002_1097-4628(20001213)78_12_2219__AID-APP200_3.0.CO;2-X.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,Use of superswelling acrylamide/maleic acid hydrogels for monovalent cationic dye adsorption,Wiley,partial,0,9,1,2,local_article_corpus/Wiley/10.1002_1097-4628(20010307)79_10_1809__AID-APP90_3.0.CO;2-L/10.1002_1097-4628(20010307)79_10_1809__AID-APP90_3.0.CO;2-L.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,Semi-interpenetrating polymer networks composed of biocompatible phospholipid polymer and segmented polyurethane,Wiley,success,1,6,1,3,local_article_corpus/Wiley/10.1002_1097-4636(20001215)52_4_701__AID-JBM15_3.3.CO;2-Y/10.1002_1097-4636(20001215)52_4_701__AID-JBM15_3.3.CO;2-Y.json,include_records,Article yielded one or more extracted records.,
10.1002/1521-3935(20010101)202:1<163::AID-MACP163>3.0.CO;2-M,"The Synthesis, Characterization and Molecular Recognition Properties of Imprinted Microgels",Wiley,partial,0,1,0,2,local_article_corpus/Wiley/10.1002_1521-3935(20010101)202_1_163__AID-MACP163_3.0.CO;2-M/10.1002_1521-3935(20010101)202_1_163__AID-MACP163_3.0.CO;2-M.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adbi.201700240,Hydrogel-Immobilized Supercharged Proteins,Wiley,success,5,14,5,5,local_article_corpus/Wiley/10.1002_adbi.201700240/10.1002_adbi.201700240.json,include_records,Article yielded one or more extracted records.,
10.1002/adbi.201800312,Optoregulated Protein Release from an Engineered Living Material,Wiley,partial,0,7,2,3,local_article_corpus/Wiley/10.1002_adbi.201800312/10.1002_adbi.201800312.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adbi.202000081,Trypsin-Free Cultivation of 3D Mini-Tissues in an Adaptive Membrane Bioreactor,Wiley,success,2,5,4,4,local_article_corpus/Wiley/10.1002_adbi.202000081/10.1002_adbi.202000081.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.200400117,Functional Hydrogel Surfaces: Binding Kinesin-Based Molecular Motor Proteins to Selected Patterned Sites†,Wiley,success,2,4,3,2,local_article_corpus/Wiley/10.1002_adfm.200400117/10.1002_adfm.200400117.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.201702955,"Protein Biophosphors: Biodegradable, Multifunctional, Protein-Based Hydrogel for White Emission, Sensing, and pH Detection",Wiley,partial,0,6,3,3,local_article_corpus/Wiley/10.1002_adfm.201702955/10.1002_adfm.201702955.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.201900518,Construction of Nanozyme-Hydrogel for Enhanced Capture and Elimination of Bacteria,Wiley,partial,0,9,2,2,local_article_corpus/Wiley/10.1002_adfm.201900518/10.1002_adfm.201900518.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202005245,Phase Separation of Intrinsically Disordered Protein Polymers Mechanically Stiffens Fibrin Clots,Wiley,success,6,9,7,5,local_article_corpus/Wiley/10.1002_adfm.202005245/10.1002_adfm.202005245.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.202010556,Nanogel-Facilitated Protein Intracellular Specific Degradation through Trim-Away,Wiley,success,5,17,8,6,local_article_corpus/Wiley/10.1002_adfm.202010556/10.1002_adfm.202010556.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.202108135,Nature Sunflower Stalk Pith with Zwitterionic Hydrogel Coating for Highly Efficient and Sustainable Solar Evaporation,Wiley,partial,0,6,0,2,local_article_corpus/Wiley/10.1002_adfm.202108135/10.1002_adfm.202108135.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202308269,"PenTag, a Versatile Platform for Synthesizing Protein-Polymer Biohybrid Materials",Wiley,success,3,14,12,4,local_article_corpus/Wiley/10.1002_adfm.202308269/10.1002_adfm.202308269.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.202309500,"Anti-Swelling, High-Strength, Anisotropic Conductive Hydrogel with Excellent Biocompatibility for Implantable Electronic Tendon",Wiley,success,2,4,2,2,local_article_corpus/Wiley/10.1002_adfm.202309500/10.1002_adfm.202309500.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.202309567,A Protein-Adsorbent Hydrogel with Tunable Stiffness for Tissue Culture Demonstrates Matrix-Dependent Stiffness Responses,Wiley,success,10,9,8,5,local_article_corpus/Wiley/10.1002_adfm.202309567/10.1002_adfm.202309567.json,include_records,Article yielded one or more extracted records.,
10.1002/adfm.202424994,Self-Regenerating Zwitterionic Hydrogel Coating Modified by Metal-Organic Framework for Integrated Anti-Biofouling and Anti-Corrosion,Wiley,partial,0,14,0,4,local_article_corpus/Wiley/10.1002_adfm.202424994/10.1002_adfm.202424994.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202513931,Harnessing Non-Covalent Protein-Protein Interaction Domains for Production of Biocatalytic Materials Systems,Wiley,partial,0,9,3,2,local_article_corpus/Wiley/10.1002_adfm.202513931/10.1002_adfm.202513931.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202519196,Generating Cell Surface Nucleated Hydrogels with an Artificial Membrane-Binding Transglutaminase,Wiley,partial,0,8,6,3,local_article_corpus/Wiley/10.1002_adfm.202519196/10.1002_adfm.202519196.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adhm.202201378,Tailored Biocompatible Polyurethane-Poly(ethylene glycol) Hydrogels as a Versatile Nonfouling Biomaterial,Wiley,success,4,10,3,3,local_article_corpus/Wiley/10.1002_adhm.202201378/10.1002_adhm.202201378.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202300695,Microgels as Platforms for Antibody-Mediated Cytokine Scavenging,Wiley,success,10,14,6,5,local_article_corpus/Wiley/10.1002_adhm.202300695/10.1002_adhm.202300695.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202402556,Glucose Oxidase-Immobilized Dually-Crosslinked Nanogels for Rapid-Responsive Insulin Delivery,Wiley,success,7,11,2,5,local_article_corpus/Wiley/10.1002_adhm.202402556/10.1002_adhm.202402556.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202405238,A Dual-Layer Hydrogel Barrier Integrating Bio-Adhesive and Anti-Adhesive Properties Prevents Postoperative Abdominal Adhesions,Wiley,success,2,10,6,3,local_article_corpus/Wiley/10.1002_adhm.202405238/10.1002_adhm.202405238.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202503260,Phase Separation-Induced Surface Protuberances in Hydrogel Particles for Enhanced Intestinal Retention,Wiley,success,2,7,3,3,local_article_corpus/Wiley/10.1002_adhm.202503260/10.1002_adhm.202503260.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202503483,Zwitterionic Microgel Scaffolds Support Matrix Accumulation by Regulating Protein Adsorption,Wiley,success,7,18,6,8,local_article_corpus/Wiley/10.1002_adhm.202503483/10.1002_adhm.202503483.json,include_records,Article yielded one or more extracted records.,
10.1002/adhm.202505805,"Cellulose Nanocrystal-Enabled Zwitterionic Hydrogel Coating Integrating Mechanical Robustness, High-Strength Adhesion, and Exceptional Antifouling for Blood-Contacting Medical Devices",Wiley,success,6,14,3,6,local_article_corpus/Wiley/10.1002_adhm.202505805/10.1002_adhm.202505805.json,include_records,Article yielded one or more extracted records.,
10.1002/adma.201101258,Microgels for Efficient Protein Purification,Wiley,success,9,17,4,10,local_article_corpus/Wiley/10.1002_adma.201101258/10.1002_adma.201101258.json,include_records,Article yielded one or more extracted records.,
10.1002/adma.202102994,Molecular Engineering of Hydrogels for Rapid Water Disinfection and Sustainable Solar Vapor Generation,Wiley,partial,0,12,2,3,local_article_corpus/Wiley/10.1002_adma.202102994/10.1002_adma.202102994.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adma.202202612,Directed Evolution Enables Simultaneous Controlled Release of Multiple Therapeutic Proteins from Biopolymer-Based Hydrogels,Wiley,success,8,10,5,8,local_article_corpus/Wiley/10.1002_adma.202202612/10.1002_adma.202202612.json,include_records,Article yielded one or more extracted records.,
10.1002/adma.202307875,Piezoionic High Performance Hydrogel Generator and Active Protein Absorber via Microscopic Porosity and Phase Blending,Wiley,success,4,17,4,4,local_article_corpus/Wiley/10.1002_adma.202307875/10.1002_adma.202307875.json,include_records,Article yielded one or more extracted records.,
10.1002/adma.202514461,Enzyme-Programmable DNA-PEG Hydrogel Spatiotemporally Regulates Bone Regeneration Microenvironment,Wiley,success,2,13,5,4,local_article_corpus/Wiley/10.1002_adma.202514461/10.1002_adma.202514461.json,include_records,Article yielded one or more extracted records.,
10.1002/adma.73688,Oppositely Charged Single Enzyme Nanogels Form Versatile Coacervates for Efficient Enzyme Cascade Catalysis,Wiley,success,3,19,6,7,local_article_corpus/Wiley/10.1002_adma.73688/10.1002_adma.73688.json,include_records,Article yielded one or more extracted records.,
10.1002/admi.201601039,The Tethered Fibrillar Hydrogels Brushes for Underwater Antifouling,Wiley,partial,0,10,0,2,local_article_corpus/Wiley/10.1002_admi.201601039/10.1002_admi.201601039.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/admi.201800452,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth,Wiley,success,5,9,2,3,local_article_corpus/Wiley/10.1002_admi.201800452/10.1002_admi.201800452.json,include_records,Article yielded one or more extracted records.,
