id,doi,field_name,value_json,value_origin,evidence_text,source_section,source_table_or_figure,confidence,prompt_version,article_type,qa_note,created_at,completion_source_dir
891,10.1002/adbi.201700240,protein.pI,"{""WT-arPTE"":6.79,""R5-arPTE"":10.01,""method"":""predicted by PROPKA""}",observed_fulltext,Isoelectric points as predicted by PROPKA increase from 6.79 (WT) to 10.01 (R5),Figure caption,Figure 2,0.93,field_completion_v7_property_first_patch,enzyme_immobilization,"The value is explicitly reported for WT and R5-arPTE, but the only missing protein.pI field is for R5-G60A, which is not directly assigned this pI in the supplied context.",2026-07-06T00:26:54,v7_plus_v9pilot
757,10.1002/adfm.202005245,hydrogel_properties.responsive_type,"""phase separation above lower critical solution temperature""",observed_fulltext,"Above the LCST, hELPs phase separate to form coacervates",Figure 1 caption,Figure 1,0.92,field_completion_v7_property_first_patch,general_batch_adsorption,"responsive_type is directly stated for hELP behavior, but this target is not present in any supplied missing_focus list.",2026-07-05T23:41:58,v7_plus_v9pilot
758,10.1002/adfm.202005245,experiment.temperature_C,"[{""value"":22,""unit"":""°C"",""raw_text"":""formed at 22 °C""},{""value"":37,""unit"":""°C"",""raw_text"":""formed at 37 °C""}]",observed_fulltext,Fb clots formed at 22 or 37 °C,Characterizing structural morphology of hELP-Fb clots,Figure 3,0.86,field_completion_v7_property_first_patch,general_batch_adsorption,"The figure reports both temperatures for microscopy samples, but the supplied records do not provide enough unambiguous mapping for every record's temperature missing fields.",2026-07-05T23:41:58,v7_plus_v9pilot
759,10.1002/adfm.202005245,hydrogel_properties.pore_size,"{""value"":73.6,""unit"":""nm"",""raw_text"":""average pore radius: 73.6 nm""}",observed_fulltext,average pore radius: 73.6 nm,Existing extracted record context,,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"The numeric pore radius is already the raw metric for record PHA-8398f37562-003, whose missing_focus does not include hydrogel_properties.pore_size; assigning it to other records would require unsupported sample matching.",2026-07-05T23:41:58,v7_plus_v9pilot
1093,10.1002/adfm.202308269,hydrogel_properties.responsive_type,"""stimuli-responsive""",observed_fulltext,PenTag as a crosslinking tool is applied for synthesizing stimuli-responsive hydrogels,Abstract,,0.86,field_completion_v7_property_first_patch,general_batch_adsorption,"responsive_type is not in the missing_focus list for the provided records, but the article-level hydrogel behavior is directly stated.",2026-07-06T01:29:06,v7_plus_v9pilot
486,10.1002/adfm.202309567,hydrogel_properties.responsive_type,"""reversible LCST phase separation behavior for high degree of methacrylation Dex-MA""",observed_fulltext,high degree of methacrylation (f = 78% and 90%) induces reversible low critical solution temperature (LCST) phase separation behavior,Figure caption,Figure 1B,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"The evidence is specific to high-methacrylation Dex-MA samples with f = 78% and 90%, but the existing records do not identify which record corresponds to those exact methacrylation levels.",2026-07-06T05:10:03,v7_plus_v9pilot
487,10.1002/adfm.202309567,hydrogel_properties.young_modulus,"""substrate stiffness modulated by changing UV exposure time and characterized via AFM nanoindentation""",observed_fulltext,"Modulating substrate stiffness of Dex-MA hydrogels by changing UV exposure time, n = 8 per group, characterized via atomic force microscopy (AFM) nanoindentation",Figure caption,Figure 3A,0.8,field_completion_v7_property_first_patch,general_batch_adsorption,The context states the stiffness characterization method and tuning approach but does not provide record-specific numeric Young's modulus values.,2026-07-06T05:10:03,v7_plus_v9pilot
488,10.1002/adfm.202309567,hydrogel_properties.swelling_ratio,"""swelling ratio measured for Dex-MA hydrogels at three different substrate stiffnesses""",observed_fulltext,swelling ratio of Dex-MA hydrogels at three different substrate stiffnesses,Figure caption,Figure 3C,0.65,field_completion_v7_property_first_patch,general_batch_adsorption,"The supplied context confirms swelling ratio characterization, but numeric values and assignment to the stiffness-series record are not available.",2026-07-06T05:10:03,v7_plus_v9pilot
1068,10.1002/adhm.202201378,hydrogel_properties.young_modulus,"{""min"":0.82,""max"":190,""unit"":""kPa"",""raw_text"":""complex shear moduli of 0.82-190 kPa""}",observed_fulltext,producing networks with complex shear moduli of 0.82-190 kPa,Abstract,,0.82,field_completion_v7_property_first_patch,antifouling_surface,"The context reports a range across hydrogel formulations but does not assign exact modulus values to the 12%, 46%, or 15%+ record-level samples.",2026-07-06T01:23:03,v7_plus_v9pilot
1069,10.1002/adhm.202201378,hydrogel.synthesis_method,"""simple one-pot method""",observed_fulltext,The hydrogels are synthesized via a simple one-pot method,Abstract,,0.9,field_completion_v7_property_first_patch,antifouling_surface,"This synthesis description applies to the PU-PEG hydrogel platform, but hydrogel.synthesis_method is not included in the missing_focus paths for the supplied records.",2026-07-06T01:23:03,v7_plus_v9pilot
1070,10.1002/adhm.202201378,experiment.detection_method,"""bicinchoninic acid (BCA) assay""",observed_fulltext,assessed by bicinchoninic acid (BCA) assay,Figure caption,Figure 4A,0.95,field_completion_v7_property_first_patch,antifouling_surface,"The BCA assay applies to the albumin and fibrinogen adsorption measurements, but experiment.detection_method is not included in the missing_focus paths for the supplied records.",2026-07-06T01:23:03,v7_plus_v9pilot
253,10.1002/adhm.202300695,hydrogel_properties.particle_size,"{""value"":25,""unit"":""µm"",""raw_text"":""size of 25 µm""}",observed_fulltext,water-swollen microgels are produced with a size of 25 µm using droplet-based microfluidics,Abstract,Abstract,0.95,field_completion_v7_property_first_patch,micro_nanogel,"The supplied records do not list hydrogel_properties.particle_size in missing_focus, so this directly reported characterization value is retained at article level.",2026-07-05T20:54:40,v7_plus_v9pilot
254,10.1002/adhm.202300695,hydrogel.synthesis_method,"""droplet-based microfluidics""",observed_fulltext,water-swollen microgels are produced with a size of 25 µm using droplet-based microfluidics,Abstract,Abstract,0.95,field_completion_v7_property_first_patch,micro_nanogel,"The synthesis method is reported broadly for the article microgels, while hydrogel.synthesis_method is not included in the supplied missing_focus lists.",2026-07-05T20:54:40,v7_plus_v9pilot
255,10.1002/adhm.202300695,protein.protein_initial_concentration,"{""value"":2.5,""unit"":""µg mL−1"",""raw_text"":""At a TNFα concentration of 2.5 µg mL−1""}",observed_fulltext,"At a TNFα concentration of 2.5 µg mL−1, the microgels are able to scavenge 88% of the cytokine",Abstract,Abstract,0.88,field_completion_v7_property_first_patch,micro_nanogel,The concentration is tied to the article-level abstract scavenging statement and protein.protein_initial_concentration is not available as a patch target in the relevant supplied missing_focus entries.,2026-07-05T20:54:40,v7_plus_v9pilot
256,10.1002/adhm.202300695,outcome.removal_efficiency_pct,"{""value"":88,""unit"":""%"",""raw_text"":""scavenge 88% of the cytokine""}",observed_fulltext,"At a TNFα concentration of 2.5 µg mL−1, the microgels are able to scavenge 88% of the cytokine",Abstract,Abstract,0.9,field_completion_v7_property_first_patch,micro_nanogel,"The value is directly reported in the abstract, but the matching listed record does not include outcome.removal_efficiency_pct in missing_focus, so no record patch was emitted.",2026-07-05T20:54:40,v7_plus_v9pilot
577,10.1002/adhm.202402556,hydrogel.crosslinking chemistry,"""phenylboronic ester and UV-crosslinking""",observed_fulltext,dually-crosslinked structure (phenylboronic ester and UV-crosslinking),Abstract,,0.92,field_completion_v7_property_first_patch,enzyme_immobilization,"The crosslinking chemistry is clearly stated for dually-crosslinked nanogels, but the allowed record-level missing field is crosslinker_concentration, and no concentration is supplied.",2026-07-06T05:28:31,v7_plus_v9pilot
578,10.1002/adhm.202402556,hydrogel_properties.responsive_type,"""glucose-responsive and H2O2-responsive insulin release""",observed_fulltext,Glucose-responsive insulin release curve... H2O2-responsive insulin release curve,Figure 3 caption,Figure 3,0.9,field_completion_v7_property_first_patch,enzyme_immobilization,"Responsive behavior is supported by the figure caption, but hydrogel_properties.responsive_type is not listed in the missing_focus for the records.",2026-07-06T05:28:31,v7_plus_v9pilot
579,10.1002/adhm.202402556,hydrogel_properties.particle_size evidence,"""DLS and TEM characterization reported for nanogels""",observed_fulltext,"DLS results of SC-NGs and SC-NGs@Ins, DC-NGs, and DC-NGs@Ins",Figure 2 caption,Figure 2,0.74,field_completion_v7_property_first_patch,enzyme_immobilization,"DLS/TEM characterization is present, but the supplied context does not include numeric particle-size values that can be patched into hydrogel_properties.particle_size.",2026-07-06T05:28:31,v7_plus_v9pilot
714,10.1002/adhm.202503483,hydrogel_properties.particle_size,"{""value"":150,""unit"":""µm"",""raw_text"":""Average diameter of microgels was 150 µm""}",observed_fulltext,Average diameter of microgels was 150 µm (n≥ 100).,Figure caption,adhm70466-fig-0003,0.9,field_completion_v7_property_first_patch,micro_nanogel,"The value is reported for microgels broadly, but particle_size is not listed in the missing_focus fields for the microgel scaffold records.",2026-07-05T23:27:31,v7_plus_v9pilot
172,10.1002/adhm.202505805,hydrogel_properties.contact_angle_deg,"""Water contact angle and air contact angle were measured with n = 4, but numeric values are not provided in the supplied context.""",observed_fulltext,"Water contact angle (n = 4), (c) air contact angle (n = 4)",Figure caption,Figure 4b-c,0.75,field_completion_v7_property_first_patch,antifouling_surface,The supplied caption identifies contact-angle measurements but does not provide numeric values and contact_angle_deg is not an allowed missing target_path for these records.,2026-07-05T20:26:51,v7_plus_v9pilot
