field,before_present,after_present,delta_present,total,before_coverage_pct,after_coverage_pct,delta_coverage_pct
experiment.adsorption_type,6435,6435,0,6436,99.98,99.98,0.0
experiment.buffer,4713,5208,495,6436,73.23,80.92,7.69
experiment.competition_system,5582,5597,15,6436,86.73,86.96,0.23
experiment.contact_time,4624,5063,439,6436,71.85,78.67,6.82
experiment.detection_method,6031,6154,123,6436,93.71,95.62,1.91
experiment.experiment_mode,6436,6436,0,6436,100.0,100.0,0.0
experiment.flow_rate,1004,1340,336,6436,15.6,20.82,5.22
experiment.hydrogel_dosage,3512,3790,278,6436,54.57,58.89,4.32
experiment.ionic_strength,198,1550,1352,6436,3.08,24.08,21.0
experiment.pH,3910,4618,708,6436,60.75,71.75,11.0
experiment.replicate_count,294,1882,1588,6436,4.57,29.24,24.67
experiment.salt_concentration,1931,2701,770,6436,30.0,41.97,11.97
experiment.salt_type,1838,3089,1251,6436,28.56,48.0,19.44
experiment.solution_volume,3403,3954,551,6436,52.87,61.44,8.57
experiment.temperature_C,3576,4439,863,6436,55.56,68.97,13.41
hydrogel.crosslinker,5149,5254,105,6436,80.0,81.63,1.63
hydrogel.crosslinker_concentration,1196,3432,2236,6436,18.58,53.33,34.75
hydrogel.filler_or_composite,1863,2104,241,6436,28.95,32.69,3.74
hydrogel.functional_groups,6125,6144,19,6436,95.17,95.46,0.29
hydrogel.gelation_time,389,3198,2809,6436,6.04,49.69,43.65
hydrogel.hydrogel_format,6435,6435,0,6436,99.98,99.98,0.0
hydrogel.hydrogel_name,6434,6434,0,6436,99.97,99.97,0.0
hydrogel.initiator,414,3098,2684,6436,6.43,48.14,41.71
hydrogel.ligand_or_affinity_group,3565,3949,384,6436,55.39,61.36,5.97
hydrogel.monomer_ratios,1597,4057,2460,6436,24.81,63.04,38.23
hydrogel.monomers,5454,6127,673,6436,84.74,95.2,10.46
hydrogel.polymer_backbone,6308,6308,0,6436,98.01,98.01,0.0
hydrogel.post_treatment,639,4066,3427,6436,9.93,63.18,53.25
hydrogel.preparation_pH,129,1375,1246,6436,2.0,21.36,19.36
hydrogel.preparation_solvent,500,4061,3561,6436,7.77,63.1,55.33
hydrogel.preparation_temp_C,1077,3213,2136,6436,16.73,49.92,33.19
hydrogel.substrate_or_support,0,2131,2131,6436,0.0,33.11,33.11
hydrogel.synthesis_method,6281,6281,0,6436,97.59,97.59,0.0
hydrogel_properties.charge_class,4037,4071,34,6436,62.73,63.25,0.52
hydrogel_properties.contact_angle_deg,617,707,90,6436,9.59,10.99,1.4
hydrogel_properties.degradation_or_stability,239,2609,2370,6436,3.71,40.54,36.83
hydrogel_properties.mesh_size,220,493,273,6436,3.42,7.66,4.24
hydrogel_properties.particle_size,1968,2301,333,6436,30.58,35.75,5.17
hydrogel_properties.pore_size,1932,2413,481,6436,30.02,37.49,7.47
hydrogel_properties.porosity_pct,144,748,604,6436,2.24,11.62,9.38
hydrogel_properties.responsive_type,3388,3637,249,6436,52.64,56.51,3.87
hydrogel_properties.roughness,54,396,342,6436,0.84,6.15,5.31
hydrogel_properties.surface_area,138,595,457,6436,2.14,9.24,7.1
hydrogel_properties.swelling_ratio,1717,2000,283,6436,26.68,31.08,4.4
hydrogel_properties.thickness,81,1116,1035,6436,1.26,17.34,16.08
hydrogel_properties.water_content_pct,166,924,758,6436,2.58,14.36,11.78
hydrogel_properties.young_modulus,377,555,178,6436,5.86,8.62,2.76
hydrogel_properties.zeta_potential_mV,457,593,136,6436,7.1,9.21,2.11
mechanism.control_material,5694,5694,0,6436,88.47,88.47,0.0
mechanism.control_outcome,5696,5696,0,6436,88.5,88.5,0.0
mechanism.control_type,6034,6034,0,6436,93.75,93.75,0.0
mechanism.fold_change_vs_control,1788,1788,0,6436,27.78,27.78,0.0
mechanism.mechanism_evidence_text,6421,6421,0,6436,99.77,99.77,0.0
mechanism.mechanism_tags,6425,6425,0,6436,99.83,99.83,0.0
outcome.association_constant_Ka,13,144,131,6436,0.2,2.24,2.04
outcome.binding_efficiency_pct,425,473,48,6436,6.6,7.35,0.75
outcome.dissociation_constant_Kd,23,263,240,6436,0.36,4.09,3.73
outcome.dynamic_binding_capacity,136,163,27,6436,2.11,2.53,0.42
outcome.fouling_reduction_pct,292,362,70,6436,4.54,5.62,1.08
outcome.imprinting_factor,207,317,110,6436,3.22,4.93,1.71
outcome.isotherm_model,477,760,283,6436,7.41,11.81,4.4
outcome.kinetic_model,434,653,219,6436,6.74,10.15,3.41
outcome.outcome_label,6436,6436,0,6436,100.0,100.0,0.0
outcome.purity_pct,81,136,55,6436,1.26,2.11,0.85
outcome.q_norm_mg_g,1483,1651,168,6436,23.04,25.65,2.61
