target_path,apply_status,patches,unique_dois,unique_records
experiment.buffer,applied,495,169,495
experiment.buffer,rejected_existing_value,586,137,511
experiment.competition_system,applied,15,6,15
experiment.competition_system,rejected_existing_value,35,17,35
experiment.contact_time,applied,439,177,439
experiment.contact_time,rejected_existing_value,839,211,693
experiment.detection_method,applied,123,53,123
experiment.detection_method,rejected_existing_value,739,164,651
experiment.experiment_mode,rejected_existing_value,3,1,3
experiment.flow_rate,applied,336,110,336
experiment.flow_rate,rejected_existing_value,265,90,218
experiment.hydrogel_dosage,applied,278,92,278
experiment.hydrogel_dosage,rejected_existing_value,227,68,221
experiment.ionic_strength,applied,1352,278,1352
experiment.ionic_strength,rejected_existing_value,25,11,25
experiment.pH,applied,708,238,708
experiment.pH,rejected_existing_value,33,21,31
experiment.preparation_solvent,rejected_unsupported_path,1,1,1
experiment.protein_initial_concentration,rejected_unsupported_path,2,1,2
experiment.replicate_count,applied,1588,325,1588
experiment.replicate_count,rejected_existing_value,148,47,148
experiment.salt_concentration,applied,770,204,770
experiment.salt_concentration,rejected_existing_value,154,78,147
experiment.salt_type,applied,1251,302,1251
experiment.salt_type,rejected_existing_value,240,93,224
experiment.solution_volume,applied,551,195,551
experiment.solution_volume,rejected_existing_value,527,148,482
experiment.substrate,rejected_unsupported_path,1,1,1
experiment.temperature_C,applied,863,279,863
experiment.temperature_C,rejected_existing_value,713,178,625
hydgel.initiator,rejected_unsupported_path,1,1,1
hydrogel.crosslinker,applied,105,29,105
hydrogel.crosslinker,rejected_existing_value,43,12,43
hydrogel.crosslinker_concentration,applied,2236,405,2236
hydrogel.crosslinker_concentration,rejected_existing_value,45,12,41
hydrogel.degradation_or_stability,rejected_unsupported_path,6,4,6
hydrogel.filler_or_composite,applied,241,57,241
hydrogel.filler_or_composite,rejected_existing_value,60,24,60
hydrogel.functional_groups,applied,19,12,19
hydrogel.functional_groups,rejected_existing_value,54,19,54
hydrogel.gelation_time,applied,2809,472,2809
hydrogel.gelation_time,rejected_existing_value,22,11,22
hydrogel.hydrogel_dosage,rejected_unsupported_path,1,1,1
hydrogel.initiator,applied,2684,420,2684
hydrogel.initiator,rejected_existing_value,11,4,11
hydrogel.ligand_or_affinity_group,applied,384,93,384
hydrogel.ligand_or_affinity_group,rejected_existing_value,93,26,93
hydrogel.monomer_ratios,applied,2460,474,2460
hydrogel.monomer_ratios,rejected_existing_value,23,9,23
hydrogel.monomers,applied,673,119,673
hydrogel.monomers,rejected_existing_value,7,2,7
hydrogel.post_treatment,applied,3427,590,3427
hydrogel.post_treatment,rejected_existing_value,136,40,136
hydrogel.preparation_pH,applied,1246,208,1246
hydrogel.preparation_pH,rejected_existing_value,17,6,17
hydrogel.preparation_solvent,applied,3561,566,3561
hydrogel.preparation_solvent,rejected_existing_value,81,26,81
hydrogel.preparation_temp_C,applied,2136,403,2136
hydrogel.preparation_temp_C,rejected_existing_value,75,23,75
hydrogel.substrate_or_support,applied,2131,370,2131
hydrogel.substrate_or_support,rejected_existing_value,8,3,8
hydrogel.synthesis_method,applied,1,1,1
hydrogel.synthesis_method,rejected_existing_value,718,131,695
hydrogel_dosage,rejected_unsupported_path,2,2,2
hydrogel_properties.charge_class,applied,34,18,34
hydrogel_properties.charge_class,rejected_existing_value,63,19,63
hydrogel_properties.contact_angle_deg,applied,90,30,90
hydrogel_properties.contact_angle_deg,rejected_existing_value,226,42,187
hydrogel_properties.degradation_or_stability,applied,2370,496,2370
hydrogel_properties.degradation_or_stability,rejected_existing_value,217,87,213
