doi,article_title,article_status,records_count,model_ready_count,missing_completion_cells,possible_completion_cells,missing_completion_pct,priority_score,fully_missing_fields,source_json
10.1016/j.jchromb.2020.122435,Amino acid-based hydrophobic affinity cryogel for protein purification from ora-pro-nobis (Pereskia aculeata Miller) leaves,success,27,27,599,999,59.96,168.0,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel_properties__water_content_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;protein__molecular_weight_kDa;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.jchromb.2020.122435\10.1016_j.jchromb.2020.122435.json
10.1016/j.ejps.2025.107132,Functional enzyme delivery via surface-modified mesoporous silica nanoparticles in 3D printed nanocomposite hydrogels,success,29,26,576,1073,53.68,164.37,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;outcome__isotherm_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.ejps.2025.107132\10.1016_j.ejps.2025.107132.json
10.1016/S0141-8130(01)00135-0,Preparation of gellan sulfate as an artificial ligand for removal of extra domain A containing fibronectin,success,24,23,520,888,58.56,144.86,hydrogel__crosslinker_concentration;hydrogel__gelation_time;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;experiment__pH;outcome__isotherm_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_S0141-8130(01)00135-0\10.1016_S0141-8130(01)00135-0.json
10.1021/ma8027722,Effects of Charge Density on the Recognition Properties of Molecularly Imprinted Polymeric Hydrogels,success,30,18,494,1110,44.5,124.45,hydrogel__substrate_or_support;hydrogel__preparation_temp_C;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_ma8027722\10.1021_ma8027722.json
10.1002/app.28241,Synthesis of geranyl butyrate with the poly(acrylic acid-co-hydroxy propyl methacrylate-cl-ethylene glycol dimethacrylate) hydrogel immobilized lipase of Pseudomonas aeruginosa MTCC-4713,success,20,19,415,740,56.08,120.61,hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_app.28241\10.1002_app.28241.json
10.1021/acsomega.5c07033,A Novel Peptide-Anchoring Method to Functionalize Gelatin Hydrogels with Antibodies via a Noncovalent Interaction,success,25,18,488,925,52.76,120.28,hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;protein__pI;experiment__pH;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_acsomega.5c07033\10.1021_acsomega.5c07033.json
10.1016/j.actbio.2022.08.022,"Bioinspired zwitterionic microgel-based coating: Controllable microstructure, high stability, and anticoagulant properties",success,19,17,353,703,50.21,109.02,hydrogel__gelation_time;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;protein__molecular_weight_kDa;protein__pI;experiment__pH;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.actbio.2022.08.022\10.1016_j.actbio.2022.08.022.json
10.1002/mabi.200500085,pH/Temperature - Sensitive Imprinted Ionic Poly(N-tert-butylacrylamide-co-acrylamide/maleic acid) Hydrogels for Bovine Serum Albumin,success,18,17,390,666,58.56,108.86,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_mabi.200500085\10.1002_mabi.200500085.json
10.1016/j.chroma.2014.11.081,Chromatographic adsorption of serum albumin and antibody proteins in cryogels with benzyl-quaternary amine ligands,success,22,16,326,814,40.05,106.0,hydrogel__preparation_pH;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;experiment__temperature_C,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.chroma.2014.11.081\10.1016_j.chroma.2014.11.081.json
10.1002/aic.10482,Multicomponent protein adsorption in supported cationic polyacrylamide hydrogels,success,17,16,342,629,54.37,102.44,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_aic.10482\10.1002_aic.10482.json
10.1002/app.24127,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)",success,22,14,446,814,54.79,97.48,hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_app.24127\10.1002_app.24127.json
10.1002/jbm.b.30983,Preparation and characterization of infection-resistant antibiotics-releasing hydrogels rods of poly[hydroxyethyl methacrylate-co-(poly(ethylene glycol)-methacrylate]: Biomedical application in a novel rabbit penile prosthesis model,success,15,15,318,555,57.3,95.73,hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;protein__molecular_weight_kDa;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_jbm.b.30983\10.1002_jbm.b.30983.json
10.1016/j.biomaterials.2015.01.039,Affinity binding of antibodies to supermacroporous cryogel adsorbents with immobilized protein A for removal of anthrax toxin protective antigen,success,16,14,354,592,59.8,91.98,hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__gelation_time;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__mesh_size;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.biomaterials.2015.01.039\10.1016_j.biomaterials.2015.01.039.json
10.1016/j.snb.2025.138404,Novel functional hydrogels for the measurement of low molecular weight proteins in the presence of serum albumin,success,29,11,702,1073,65.42,90.54,hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;experiment__temperature_C;outcome__isotherm_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.snb.2025.138404\10.1016_j.snb.2025.138404.json
10.1016/j.biomaterials.2005.01.031,Molecularly engineered p(HEMA)-based hydrogels for implant biochip biocompatibility,success,19,13,432,703,61.45,90.15,hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;experiment__pH;experiment__temperature_C;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.biomaterials.2005.01.031\10.1016_j.biomaterials.2005.01.031.json
10.1080/01496395.2017.1318921,Preparation of an affinity cryogel column for lysozyme purification,success,16,14,227,592,38.34,89.83,hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\TnF\10.1080_01496395.2017.1318921\10.1080_01496395.2017.1318921.json
