"field","column","description","present","total","coverage_pct"
"provenance.doi","provenance__doi","Source DOI.","6436","6436","100.0"
"provenance.title","provenance__title","Source article title.","6436","6436","100.0"
"provenance.year","provenance__year","Publication year if available.","6436","6436","100.0"
"provenance.source_section","provenance__source_section","Article section used as evidence.","6436","6436","100.0"
"provenance.source_table_or_figure","provenance__source_table_or_figure","Source table or figure used as evidence.","6045","6436","93.92"
"hydrogel.hydrogel_name","hydrogel__hydrogel_name","Hydrogel or hydrogel-like material name.","6434","6436","99.97"
"hydrogel.hydrogel_format","hydrogel__hydrogel_format","Material format, such as bulk gel, coating, bead, cryogel, or nanogel.","6435","6436","99.98"
"hydrogel.polymer_backbone","hydrogel__polymer_backbone","Polymer backbone or family.","6391","6436","99.3"
"hydrogel.monomers","hydrogel__monomers","Reported monomers.","6436","6436","100.0"
"hydrogel.monomer_ratios","hydrogel__monomer_ratios","Reported monomer ratios.","4057","6436","63.04"
"hydrogel.crosslinker","hydrogel__crosslinker","Reported crosslinker(s).","6369","6436","98.96"
"hydrogel.crosslinker_concentration","hydrogel__crosslinker_concentration","Reported crosslinker concentration.","3432","6436","53.33"
"hydrogel.initiator","hydrogel__initiator","Reported initiator(s).","3098","6436","48.14"
"hydrogel.synthesis_method","hydrogel__synthesis_method","Preparation or synthesis method.","6281","6436","97.59"
"hydrogel.preparation_solvent","hydrogel__preparation_solvent","Preparation solvent.","4061","6436","63.1"
"hydrogel.preparation_pH","hydrogel__preparation_pH","Preparation pH.","1375","6436","21.36"
"hydrogel.preparation_temp_C","hydrogel__preparation_temp_C","Preparation temperature in Celsius.","3213","6436","49.92"
"hydrogel.gelation_time","hydrogel__gelation_time","Gelation or curing time.","3198","6436","49.69"
"hydrogel.functional_groups","hydrogel__functional_groups","Functional groups.","6436","6436","100.0"
"hydrogel.ligand_or_affinity_group","hydrogel__ligand_or_affinity_group","Affinity ligands or recognition groups.","6415","6436","99.67"
"hydrogel.filler_or_composite","hydrogel__filler_or_composite","Composite fillers.","6422","6436","99.78"
"hydrogel.substrate_or_support","hydrogel__substrate_or_support","Substrate or support.","2131","6436","33.11"
"hydrogel.post_treatment","hydrogel__post_treatment","Post-treatment, washing, conditioning, or storage notes.","4066","6436","63.18"
"hydrogel_properties.charge_class","hydrogel_properties__charge_class","Material charge class.","4071","6436","63.25"
"hydrogel_properties.swelling_ratio","hydrogel_properties__swelling_ratio","Swelling ratio.","2000","6436","31.08"
"hydrogel_properties.water_content_pct","hydrogel_properties__water_content_pct","Water content percentage.","924","6436","14.36"
"hydrogel_properties.porosity_pct","hydrogel_properties__porosity_pct","Porosity percentage.","748","6436","11.62"
"hydrogel_properties.pore_size","hydrogel_properties__pore_size","Pore size.","2413","6436","37.49"
"hydrogel_properties.mesh_size","hydrogel_properties__mesh_size","Mesh size.","493","6436","7.66"
"hydrogel_properties.surface_area","hydrogel_properties__surface_area","Surface area.","595","6436","9.24"
"hydrogel_properties.particle_size","hydrogel_properties__particle_size","Particle size.","2303","6436","35.78"
"hydrogel_properties.thickness","hydrogel_properties__thickness","Material thickness.","1116","6436","17.34"
"hydrogel_properties.roughness","hydrogel_properties__roughness","Surface roughness.","396","6436","6.15"
"hydrogel_properties.zeta_potential_mV","hydrogel_properties__zeta_potential_mV","Zeta potential.","593","6436","9.21"
"hydrogel_properties.contact_angle_deg","hydrogel_properties__contact_angle_deg","Water contact angle.","707","6436","10.99"
"hydrogel_properties.young_modulus","hydrogel_properties__young_modulus","Young's modulus or mechanical modulus.","555","6436","8.62"
"hydrogel_properties.responsive_type","hydrogel_properties__responsive_type","Stimuli-responsive behavior or class.","6168","6436","95.84"
"hydrogel_properties.degradation_or_stability","hydrogel_properties__degradation_or_stability","Degradation, reuse, storage, or stability notes.","2609","6436","40.54"
"protein.protein_name","protein__protein_name","Protein name.","6429","6436","99.89"
"protein.protein_abbreviation","protein__protein_abbreviation","Protein abbreviation.","4978","6436","77.35"
"protein.protein_species_or_source","protein__protein_species_or_source","Protein species or biological source.","5381","6436","83.61"
"protein.protein_role","protein__protein_role","Role of the protein in the experiment.","6436","6436","100.0"
"protein.molecular_weight_kDa","protein__molecular_weight_kDa","Protein molecular weight.","2571","6436","39.95"
"protein.pI","protein__pI","Protein isoelectric point.","2218","6436","34.46"
