"metric","category","count"
"articles_count","current_release","1230"
"records_count","current_release","6436"
"model_ready_count","legacy_model_ready","2337"
"model_ready_count","model_ready_v2","3589"
"comparable_numeric_count","legacy_primary_target_numeric","4021"
"interaction_type_distribution","covalent_immobilization","1423"
"interaction_type_distribution","physical_adsorption","1141"
"interaction_type_distribution","entrapment","994"
"interaction_type_distribution","selective_adsorption","976"
"interaction_type_distribution","affinity_binding","748"
"interaction_type_distribution","antifouling_low_adsorption","545"
"interaction_type_distribution","unknown","245"
"interaction_type_distribution","nonspecific_adsorption","228"
"interaction_type_distribution","protein_fouling","136"
"experiment_mode_primary_distribution","surface","1372"
"experiment_mode_primary_distribution","column","1321"
"experiment_mode_primary_distribution","batch","1008"
"experiment_mode_primary_distribution","hemocompatibility","841"
"experiment_mode_primary_distribution","immobilization","729"
"experiment_mode_primary_distribution","other","402"
"experiment_mode_primary_distribution","biofouling","371"
"experiment_mode_primary_distribution","QCM_SPR","214"
"experiment_mode_primary_distribution","microarray","123"
"experiment_mode_primary_distribution","flow","55"
"application_context_distribution","protein_immobilization","1878"
"application_context_distribution","biointerface_adsorption","1411"
"application_context_distribution","purification","1344"
"application_context_distribution","antifouling","636"
"application_context_distribution","hemocompatibility","493"
"application_context_distribution","mechanism_study","436"
"application_context_distribution","other","123"
"application_context_distribution","screening_library","115"
"comparable_target_class_distribution","strong","2401"
"comparable_target_class_distribution","medium","1438"
"comparable_target_class_distribution","not_comparable","1377"
"comparable_target_class_distribution","weak","1220"
"manual_review_priority_distribution","high","4626"
"manual_review_priority_distribution","medium","1675"
"manual_review_priority_distribution","low","135"
"source_quality_score_distribution","0","4"
"source_quality_score_distribution","1","819"
"source_quality_score_distribution","2","2671"
"source_quality_score_distribution","3","2942"
"protein_distribution_top20","bovine serum albumin","1350"
"protein_distribution_top20","lysozyme","788"
"protein_distribution_top20","fibrinogen","193"
"protein_distribution_top20","human serum albumin","190"
"protein_distribution_top20","immunoglobulin G","187"
"protein_distribution_top20","hemoglobin","117"
"protein_distribution_top20","lipase","111"
"protein_distribution_top20","human immunoglobulin G","94"
"protein_distribution_top20","cytochrome C","73"
"protein_distribution_top20","bovine hemoglobin","59"
"protein_distribution_top20","albumin","53"
"protein_distribution_top20","ovalbumin","53"
"protein_distribution_top20","myoglobin","50"
"protein_distribution_top20","horseradish peroxidase","47"
"protein_distribution_top20","catalase","46"
"protein_distribution_top20","trypsin","45"
"protein_distribution_top20","insulin","43"
"protein_distribution_top20","Laccase","43"
"protein_distribution_top20","glucose oxidase","40"
"protein_distribution_top20","carbonic anhydrase","39"
"hydrogel_distribution_top20","L-tryptophan-functionalized polyacrylamide cryogel","24"
"hydrogel_distribution_top20","Gelatin hydrogel nonwoven fabric (Genocel)","21"
"hydrogel_distribution_top20","poly(NIPAM-co-MAA) nanogel","20"
"hydrogel_distribution_top20","l-phenylalanine-functionalized polyacrylamide cryogel","18"
"hydrogel_distribution_top20","APC-specific DNA aptamer immobilized poly(HEMA-GMA) cryogel membrane","18"
"hydrogel_distribution_top20","supported cationic polyacrylamide hydrogel","17"
"hydrogel_distribution_top20","quaternized polyethyleneimine-functionalized PAAm cryogel","14"
"hydrogel_distribution_top20","Tris-activated polyacrylamide cryogel","14"
"hydrogel_distribution_top20","P(HEMA-MAA)","13"
"hydrogel_distribution_top20","P(NIPAM-co-AAC)/Zr-MOF hydrogel microspheres","13"
"hydrogel_distribution_top20","FITC-NVOC functional PEG hydrogel disks, 5-40% w:v series","13"
"hydrogel_distribution_top20","FITC-NVOC functional PEG hydrogel disk, 10% w:v","12"
"hydrogel_distribution_top20","Tris-functionalized affinity cryogel","12"
"hydrogel_distribution_top20","gelatin/poly(HEMA-co-AM) semi-IPN","12"
"hydrogel_distribution_top20","polystyrene-core poly(N-isopropylacrylamide-co-acrylic acid) shell microgel","12"
"hydrogel_distribution_top20","micropatterned Acr-sP(EO-stat-PO) PEG-based hydrogel","12"
"hydrogel_distribution_top20","HAVCR-1 epitope-imprinted polymer nanogels","12"
"hydrogel_distribution_top20","monolithic supermacroporous affinity column with immobilized p-aminobenzenesulfonamide","12"
"hydrogel_distribution_top20","optimized PEGDA-AA/SNPs nanocomposite hydrogel","12"
"hydrogel_distribution_top20","MFC/SA cryogel C4","12"
"q1_q7_query_family_contribution","not_available_in_public_release_metadata",""
