protein_mention_id,doi,name,abbreviation,species_or_source,role,query,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,reviewed,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,pdb_cross_refs,result_count
721,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,bovine serum albumin,,bovine,prior-study protein adsorbate mention only,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3303,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,protein,,,adsorbate,protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2723,10.1002/adbi.201700240,phosphotriesterase from Agrobacterium radiobacter,arPTE,Agrobacterium radiobacter,parent enzyme for supercharged variants,Agrobacterium radiobacter phosphotriesterase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2724,10.1002/adbi.201700240,wild-type arPTE,WT-arPTE,Agrobacterium radiobacter,wild-type comparator,Agrobacterium radiobacter phosphotriesterase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2725,10.1002/adbi.201700240,supercharged phosphotriesterase from Agrobacterium radiobacter,R5-arPTE,Agrobacterium radiobacter,cationic adsorbed enzyme,Agrobacterium radiobacter phosphotriesterase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2726,10.1002/adbi.201700240,Gly60Ala mutant of R5-arPTE,G60A-R5,Agrobacterium radiobacter phosphotriesterase variant,immobilized enantioselective enzyme,Agrobacterium radiobacter phosphotriesterase Agrobacterium radiobacter phosphotriesterase variant,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2727,10.1002/adbi.201700240,bovine serum albumin,BSA,bovine,assay additive,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2581,10.1002/adbi.201800312,red fluorescent protein,RFP,,released reporter protein,red fluorescent protein TagRFP,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2582,10.1002/adbi.201800312,deoxyviolacein,,,fluorescent drug comparator for oxygen-independent production,deoxyviolacein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3287,10.1002/adbi.202000081,proteins from cell cultivation media,,cell cultivation media,adsorbed proteins proposed to mediate cell attachment to PVCL microgel surfaces,proteins from cell cultivation media,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3288,10.1002/adbi.202000081,ECM proteins,ECM,extracellular matrix,adhesion-relevant protein class whose adhesion is described as temperature-dependent,ECM proteins extracellular matrix,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3289,10.1002/adbi.202000081,growth factors,,,future heparin-binding bioactive proteins,growth factors,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3290,10.1002/adbi.202000081,trypsin,,,proteolytic enzyme comparator avoided in enzyme-free harvesting,trypsin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1320,10.1002/adfm.200400117,His-tagged protein,,,target protein for hydrogel immobilization,His-tagged protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1321,10.1002/adfm.200400117,kinesin-based molecular motor proteins,kinesin,,motor protein target for binding and activity retention,kinesin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1322,10.1002/adfm.200400117,microtubule,,,assay substrate for gliding activity,tubulin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3192,10.1002/adfm.201702955,bovine serum albumin,BSA,bovine,hydrogel backbone and dye-binding protein matrix,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3193,10.1002/adfm.201702955,glucose oxidase,GOx,,enzyme incorporated into hydrogel before gelation for glucose sensing,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
